De Bruyn, Kristof:INSPIRE-00341032
De Capua, Stefano:INSPIRE-00258572
De Cian, Michel:INSPIRE-00260810
De Miranda, Jussara:INSPIRE-00107943
De Paula, Leandro:INSPIRE-00115169
De Simone, Patrizia:INSPIRE-00258414
Dean, Cameron Thomas:INSPIRE-00453317
Decamp, Daniel:INSPIRE-00257320
Deckenhoff, Mirko:INSPIRE-00341054
Del Buono, Luigi:INSPIRE-00070041
Demmer, Moritz:
Derkach, Denis:INSPIRE-00144686
Deschamps, Olivier:INSPIRE-00257367
Dettori, Francesco:INSPIRE-00258140
Dey, Biplab:INSPIRE-00266843
Di Canto, Angelo:INSPIRE-00010940
Dijkstra, Hans:INSPIRE-00260011
Dordei, Francesca:INSPIRE-00341074
Dorigo, Mirco:INSPIRE-00000328
Dosil Suárez, Alvaro:INSPIRE-00341088
Dovbnya, Anatoliy:INSPIRE-00260913
Dreimanis, Karlis:INSPIRE-00399892
Dufour, Laurent:
Dujany, Giulio:INSPIRE-00400045
Dungs, Kevin:
Durante, Paolo:INSPIRE-00389556
Dzhelyadin, Rustem:INSPIRE-00077380
Dziurda, Agnieszka:INSPIRE-00341115
Dzyuba, Alexey:INSPIRE-00341144
Déléage, Nicolas:INSPIRE-00389141
Easo, Sajan:INSPIRE-00078816
Egede, Ulrik:INSPIRE-00058834
Egorychev, Victor:INSPIRE-00259251
Eidelman, Semen:INSPIRE-00302446
Eisenhardt, Stephan:INSPIRE-00079238
Eitschberger, Ulrich:INSPIRE-00389721
Ekelhof, Robert:INSPIRE-00341158
Eklund, Lars:INSPIRE-00015467
Elsasser, Christian:INSPIRE-00341160
Ely, Scott:INSPIRE-00400105
Esen, Sevda:INSPIRE-00238345
Evans, Hannah Mary:INSPIRE-00400160
Evans, Timothy:INSPIRE-00452003
Falabella, Antonio:INSPIRE-00296108
Farley, Nathanael:INSPIRE-00400287
Farry, Stephen:INSPIRE-00257989
Fay, Robert:INSPIRE-00452191
Ferguson, Dianne:INSPIRE-00389899
Fernandez Albor, Victor:INSPIRE-00259681
Ferrari, Fabio:INSPIRE-00522680
Ferreira Rodrigues, Fernando:INSPIRE-00257190
Ferro-Luzzi, Massimiliano:INSPIRE-00159865
Filippov, Sergey:INSPIRE-00259378
Fiore, Marco:INSPIRE-00390028
Fiorini, Massimiliano:INSPIRE-00017773
Firlej, Miroslaw:INSPIRE-00452328
Fitzpatrick, Conor:INSPIRE-00261277
Fiutowski, Tomasz:INSPIRE-00452523
Fleuret, Frederic:
Fohl, Klaus:
Fontana, Marianna:INSPIRE-00341209
Fontanelli, Flavio:INSPIRE-00081845
Forshaw, Dean Charles:
Forty, Roger:INSPIRE-00260047
Frank, Markus:INSPIRE-00260763
Frei, Christoph:INSPIRE-00260067
Frosini, Maddalena:INSPIRE-00258246
Fu, Jinlin:INSPIRE-00390117
Furfaro, Emiliano:INSPIRE-00390286
Färber, Christian:INSPIRE-00257792
Gallas Torreira, Abraham:INSPIRE-00259710
Galli, Domenico:INSPIRE-00178050
Gallorini, Stefano:INSPIRE-00293740
Gambetta, Silvia:INSPIRE-00150884
Gandelman, Miriam:INSPIRE-00083458
Gandini, Paolo:INSPIRE-00262802
Gao, Yuanning:INSPIRE-00257210
García Pardiñas, Julián:INSPIRE-00452833
Garra Tico, Jordi:INSPIRE-00024997
Garrido, Lluis:INSPIRE-00157725
