Barisonzi, Marcello:INSPIRE-00211159
Barklow, Timothy:INSPIRE-00064576
Barlow, Nick:INSPIRE-00042309
Barnett, Bruce:INSPIRE-00211160
Barnett, Michael:INSPIRE-00064676
Barnovska, Zuzana:INSPIRE-00265099
Baroncelli, Antonio:INSPIRE-00064709
Barone, Gaetano:INSPIRE-00235799
Barr, Alan:INSPIRE-00064725
Barreiro, Fernando:INSPIRE-00064758
Barreiro Guimarães da Costa, João:INSPIRE-00087323
Bartoldus, Rainer:INSPIRE-00064943
Barton, Adam Edward:INSPIRE-00229256
Bartos, Pavol:INSPIRE-00304670
Bartsch, Valeria:INSPIRE-00006685
Bassalat, Ahmed:INSPIRE-00347533
Basye, Austin:INSPIRE-00001441
Bates, Richard:INSPIRE-00065082
Batley, Richard:INSPIRE-00211190
Battaglia, Marco:INSPIRE-00065121
Battistin, Michele:INSPIRE-00211210
Bauer, Florian:INSPIRE-00220215
Bawa, Harinder Singh:INSPIRE-00316070
Beattie, Michael David:INSPIRE-00266324
Beau, Tristan:INSPIRE-00149690
Beauchemin, Pierre-Hugues:INSPIRE-00034698
Beccherle, Roberto:INSPIRE-00211244
Bechtle, Philip:INSPIRE-00055190
Beck, Hans Peter:INSPIRE-00065459
Becker, Anne Kathrin:INSPIRE-00286180
Becker, Sebastian:INSPIRE-00235814
Beckingham, Matthew:INSPIRE-00217716
Becot, Cyril:INSPIRE-00362269
Beddall, Andrew:INSPIRE-00065527
Beddall, Ayda:INSPIRE-00211268
Bedikian, Sourpouhi:INSPIRE-00286199
Bednyakov, Vadim:INSPIRE-00065561
Bee, Christopher:INSPIRE-00065575
Beemster, Lars:INSPIRE-00287445
Beermann, Thomas:INSPIRE-00346910
Begel, Michael:INSPIRE-00065614
Behr, Janna Katharina:INSPIRE-00348133
Belanger-Champagne, Camille:INSPIRE-00037478
Bell, Paul:INSPIRE-00211293
Bell, William:INSPIRE-00065761
Bella, Gideon:INSPIRE-00211305
Bellagamba, Lorenzo:INSPIRE-00065777
Bellerive, Alain:INSPIRE-00065818
Bellomo, Massimiliano:INSPIRE-00211329
Belotskiy, Konstantin:INSPIRE-00211335
Beltramello, Olga:INSPIRE-00211347
Benary, Odette:INSPIRE-00211360
Benchekroun, Driss:INSPIRE-00211372
Bendtz, Katarina:INSPIRE-00286205
Benekos, Nektarios:INSPIRE-00066029
Benhammou, Yan:INSPIRE-00211400
Benhar Noccioli, Eleonora:INSPIRE-00286227
Benitez Garcia, Jorge-Armando:INSPIRE-00047147
Benjamin, Douglas:INSPIRE-00066086
Bensinger, James:INSPIRE-00066127
Benslama, Kamal:INSPIRE-00195284
Bentvelsen, Stan:INSPIRE-00066169
Berge, David:INSPIRE-00326772
Bergeaas Kuutmann, Elin:INSPIRE-00305615
Berger, Nicolas:INSPIRE-00066350
Berghaus, Frank:INSPIRE-00036960
Beringer, Jürg:INSPIRE-00066414
Bernard, Clare:INSPIRE-00352198
Bernat, Pauline:INSPIRE-00211448
Bernius, Catrin:INSPIRE-00211450
Bernlochner, Florian Urs:INSPIRE-00144634
Berry, Tracey:INSPIRE-00041406
Berta, Peter:INSPIRE-00349738
Bertella, Claudia:INSPIRE-00235836
Bertoli, Gabriele:INSPIRE-00370978
Bertolucci, Federico:INSPIRE-00211461
Bertsche, Carolyn:INSPIRE-00375840
Bertsche, David:INSPIRE-00377159
Besana, Maria Ilaria:INSPIRE-00211473
Besjes, Geert-Jan:INSPIRE-00286235
Bessidskaia Bylund, Olga:INSPIRE-00348474
Bessner, Martin Florian:INSPIRE-00368451
Besson, Nathalie:INSPIRE-00211485
Betancourt, Christopher:INSPIRE-00362040
Bethke, Siegfried:INSPIRE-00179262
Bhimji, Wahid:INSPIRE-00042527
Bianchi, Riccardo-Maria:INSPIRE-00211497
Bianchini, Louis:INSPIRE-00295889
Bianco, Michele:INSPIRE-00211509
Biebel, Otmar:INSPIRE-00066953
