author,title,date,publisher,subject,type,qualname,quallevel,abstract,catalogued,file1,file2,file3,subject1,subject2,subject3,estc,description,language,identifier
"Barclay, James,   active 1810.","Dissertatio medica inauguralis de ictero : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Jacobus Barclay, Scotus, Societatis Physicalis Regalis Edinburgenae Praeses Annuus et Socius Extraodinarius.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,Jaundice,,,Thesis (M.D.)--University of Edinburgh.,lat,9916220193502466,,,
"Barlow, Edward.   ","Dissertatio medica inauguralis, de febre hectica : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Edvardus Barlow, Hibernus, Coll. Reg. Chirurg. In Hib. Licentiatus, et Soc. Physico-Chirurg. Dub. Soc. Priv. Don.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,Fever,,,Thesis (M.D.)--University of Edinburgh.,lat,9916220283502466,,,
"Dickinson, Austen.   ","Tentamen medicum inaugurale, quaedam de optimis rationibus sanitatis conservandae complectens : quod, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Austen Dickinson, Hibernus, Soc. Reg. Med. Edin. Soc. Extraord.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,,,,Thesis (M.D.)--University of Edinburgh.,lat,9916220403502466,,,
"Fitton, William.   ","Dissertatio medica inauguralis de pneumonia : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Gulielmus Fitton, Hibernus, A.B.T.C.D.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,Pneumonia,,,Thesis (M.D.)--University of Edinburgh.,lat,9916223853502466,,,
"Gordon, Charles.   ","Dissertatio inauguralis de hepatitide : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Carolus Gordon, Scotus, Chirurgus.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,Hepatitis,,,Thesis (M.D.)--University of Edinburgh.,lat,9916223903502466,,,
"Grierson, James,   active 1810.","Dissertatio medica inauguralis, de febre continua, ut in hisce regionibus plerumque conspicitur--typho vel synocho : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Jacobus Grierson, Scotus.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,Fever,,,Thesis (M.D.)--University of Edinburgh.,lat,9916223923502466,,,
"Gullifer, J. G.   ","Dissertatio medica inauguralis de rheumatismo : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit J.G. Gullifer, Anglus.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,Rheumatic Diseases,,,Thesis (M.D.)--University of Edinburgh.,lat,9916223943502466,,,
"Johnston, Arthur.   ","Disputatio medica inauguralis de phthisi pulmonali : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Arthurus Johnston, Hibernus, Societ. Physic. Reg. Edinburgenae Socius.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,Tuberculosis,,,Thesis (M.D.)--University of Edinburgh.,lat,9916223973502466,,,
"Lorimer, John.   ","Dissertatio medica inauguralis de pneumonia : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Joannes Lorimer, Scotus, Chirurgus.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,Pneumonia,,,Thesis (M.D.)--University of Edinburgh.,lat,9916224013502466,,,
"Lucas, Thomas.   ","Dissertatio medica inauguralis de scorbuto : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Thomas Lucas, Hibernus, Societatis Regiae Medicae Edinburgenae Socius.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,Scurvy,,,Thesis (M.D.)--University of Edinburgh.,lat,9916224043502466,,,
